ID,beautiful,boring,depressing,safety,lively,wealthy,wall,building,sky,tree,ceiling,road,grass,sidewalk,earth,plant,car,sea,fence,sand,bridge,palm,boat,bus,truck
1,3.75,5,4,4.75,2.25,1.5,0,0,0.564040404,0.25770202,0,0.178257576,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,4.25,3.75,3.75,4.25,3.75,0,0,0.421919192,0.047323232,0,0.148686869,0,0,0,0,0,0,0,0,0.382070707,0,0,0,0
3,4.25,3,2.75,3.5,4.5,3.5,0,0.060176768,0.599520202,0.058661616,0,0.11709596,0,0,0,0.083611111,0,0,0,0,0,0,0,0,0.072929293
4,1.25,4.5,4.5,2.5,4.75,3,0,0.240708432,0.560401798,0,0,0.037536347,0,0.006132699,0,0,0,0,0,0.153000264,0,0.00137457,0,0,0
5,2.75,5.5,3.5,4,2.75,3.5,0,0.254427703,0.633729844,0.097330161,0,0.002854877,0,0,0,0,0,0,0,0,0,0,0.002194026,0,0
6,4.5,3.75,3,4.5,5.25,4.75,0,0.000328283,0.599419192,0.222171717,0,0.158611111,0,0,0,0.014974747,0.004494949,0,0,0,0,0,0,0,0
7,4.75,3.25,1.75,3.75,4.75,2.75,0,0,0.60999207,0.214380122,0,0.166323024,0,0,0.002194026,0,0.004070843,0,0,0,0,0,0,0,0.003039915
8,3.5,3.5,4.5,3.5,5.5,5.25,0,0.224267677,0.52290404,0.050378788,0,0.149217172,0,0,0,0,0.034368687,0,0,0,0,0,0,0.005631313,0.013232323
9,4.25,3.25,2.75,5.75,4.25,4.5,0.012424002,0.115384615,0.57837695,0.089399947,0,0.203727201,0,0,5.29E-05,0,0,0,0.000634417,0,0,0,0,0,0
10,5,3.75,3,5.25,3.5,4.5,0,0.199166667,0.565757576,0.221717172,0,0,0,0,0,0,0,0,0,0,0,0,0.013358586,0,0
11,3.5,4,3,3,3.75,3.75,0,0.004890299,0.602564103,0.136346815,0,0.191699709,0,0,0.058075601,0,0.006423473,0,0,0,0,0,0,0,0
12,3.5,3.25,3.25,3.75,4.25,4.75,0,0.058358586,0.616464646,0.13729798,0,0.173106061,0,0,0,0,0.014772727,0,0,0,0,0,0,0,0
13,3.5,4.25,3.75,2.75,3.25,4,0.000420854,0.127028894,0.498712312,0.100251256,0,0.156438442,0.000376884,0.004120603,0,0.067864322,0.010590452,0,0,0,0.001036432,0,0,0,0.032273869
14,4,4,1.75,4.75,3.75,3,0,0.000151515,0.639343434,0.100479798,0,0.158611111,0,0.015429293,0.001893939,0.076262626,0,0,0,0,0,0,0,0,0
15,3.5,3.5,2.5,3.75,4,3.75,0,0.049646465,0.638813131,0.093964646,0,0.12770202,0,0,0,0,0.00040404,0,0,0,0,0,0.089469697,0,0
16,2.75,3.25,3.25,3.25,3.75,3.25,0,0,0.619444444,0.133131313,0,0.242727273,0,0,0,0,0.00469697,0,0,0,0,0,0,0,0
17,4,3,2.5,4.75,4.25,3,0.002643405,0.011128734,0.55630452,0.201030928,0,0.206714248,0,0,0.012714777,0,0,0,0,0,0,0,0,0,0
18,1.75,4.5,4.25,3.5,3,2,0,0.116212121,0.576969697,0.04969697,0,0.250984848,0,0.00010101,0,0,0,0,0,0,0,0,0,0,0.006035354
19,5.25,2.5,1.75,5.75,5.75,5.75,0.027688442,0.140025126,0.459051508,0.170910804,0,0.096331658,0,0.016708543,0,0.004748744,0.037788945,0,0.037380653,0,0,0.008285176,0,0,0
20,1.75,5.5,4,2.5,3,3.25,0,0.031324346,0.591752577,0.075627809,0,0.233518372,5.29E-05,0,0.00111023,0,0.053343907,0,0.000185038,0,0,0,0,0,0.013084853
21,3.25,3.5,3,4.25,3.25,3.75,0,0.069310071,0.486095691,0.137509913,0,0.205286809,0,0.012424002,0,0.000370077,0.015754692,0,0.02677769,0,0,0,0,0,0.003912239
22,3.5,4.5,3,5.75,4.5,4.75,0.006691919,0.119494949,0.537878788,0.113131313,0,0.19729798,0,0,0,0,0,0,0.021767677,0,0,0,0,0,0
23,3.75,5,4.25,4.5,4,3.5,0,0.076085859,0.524570707,0.160808081,0,0.230025253,0,0,0.001363636,0,0,0,0.007146465,0,0,0,0,0,0
24,4,3,3.25,3.75,5.25,4.5,0,0.089981496,0.518847476,0.163758921,0,0.154348401,0,0.05492995,0,0,0.014538726,0,0,0,0,0,0,0,0
25,4.25,4.25,2.5,4.75,4.5,4,0.002474747,0.165833333,0.587828283,0.220050505,0,0,0,0,0,0,0,0,0.016363636,0,0,0,0.007449495,0,0
26,4,4.25,2.5,5,4.5,4,0.023024055,0.117816548,0.568173407,0.019111816,0,0.162860164,0,0.012318266,0,0.096695744,0,0,0,0,0,0,0,0,0
27,2.5,4.5,3.75,3.5,3.75,2.75,0,0.212373737,0.532020202,0,0,0.255606061,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.5,4.5,3.5,4.5,3.75,3.25,0,0.092954545,0.55540404,0.073914141,0,0.229873737,0,0.001590909,0,0.000252525,0.016363636,0,0,0,0,0.029646465,0,0,0
29,4,4,2.5,4.5,4.5,3.25,0.000229885,0.097692939,0.641461412,0.031436782,0,0.214802956,0,0.001789819,0,0,0,0,0.007816092,0,0,0,0,0,0
30,3.75,4,3,5.25,4.5,4,0,0.218156566,0.506691919,0.066262626,0,0.195883838,0,0,0,0.00260101,0.006818182,0,0,0,0,0,0,0,0.003585859
31,2.5,4.5,3.5,3.75,3,3.25,0.003251388,0.155432197,0.668966429,7.93E-05,0,0.029949775,0,0,0,0.142320909,0,0,0,0,0,0,0,0,0
32,3.5,4.25,3,4.25,4.25,3.5,0,0.110864393,0.488977002,0.180703146,0,0.182659265,0,0.004546656,0,0.032249537,0,0,0,0,0,0,0,0,0
33,2.5,5.75,5,1.75,1.75,1.75,0,0.045378788,0.545075758,0.184166667,0,0.19790404,0,0.011666667,0.001010101,0.01479798,0,0,0,0,0,0,0,0,0
34,4,4.25,3,4.5,4,3.5,0,0.121237374,0.491717172,0.095505051,0,0.206666667,0,0.019873737,0,0.06270202,0,0,0,0,0,0,0,0,0
35,3.75,4.5,4,4,3.25,3.5,0,0.008485329,0.570208829,0.17504626,0,0.224504362,0.014459424,0,0,0,0.007295797,0,0,0,0,0,0,0,0
36,1.5,5.25,5.5,3,3.25,1.75,0,0.104255882,0.54036479,0.116997092,0,0.223076923,0,0,0,0,0.015305313,0,0,0,0,0,0,0,0
37,3.75,4,2.75,4.5,4.75,4.5,0,0.136135342,0.529764737,0.057229712,0,0.270393867,0,0,0,0,0.006476342,0,0,0,0,0,0,0,0
38,5,2.75,3,5,5.5,4.25,0,0.014949495,0.617272727,0.198106061,0,0.169318182,0,2.53E-05,0,0.000328283,0,0,0,0,0,0,0,0,0
39,2.75,5.75,2.75,3.5,2.25,2.5,0.012450436,0.116309807,0.654480571,0,0,0.169918054,0,0.041157811,0.003938673,0,0,0,0.001744647,0,0,0,0,0,0
40,3.5,3.75,3.5,4.25,4.5,4.25,0,0.191868687,0.471919192,0.128838384,0,0.141919192,0,0.003156566,0,0,0,0,0.06229798,0,0,0,0,0,0
41,4.25,5,4.25,4.25,4.25,4.5,0,0,0.570790378,0.185461274,0,0.194210944,0,0,0,0,0.047634153,0,0,0,0,0,0,0,0
42,4.75,2.75,3.25,5.5,5.75,6,0,0.168585859,0.447424242,0.092348485,0,0.153661616,0,0.000782828,0,0.092373737,0.008055556,0,0,0,0,0.036616162,0,0,0
43,4.25,4.5,3.25,3.25,4.5,4.75,0,0.210606061,0.561111111,0.060959596,0,0.1425,0,0,0,0,0.024823232,0,0,0,0,0,0,0,0
44,4.25,3.25,2,4.75,4.25,4.25,0,0.094722222,0.651237374,0.016565657,0,0.14020202,0,0,0,0.066136364,0.005126263,0,0.026010101,0,0,0,0,0,0
45,3.75,3.75,3.5,4.75,4,4.5,0,0.119772667,0.431086439,0.186571504,0,0.254004758,0,0,0,0,0.008564631,0,0,0,0,0,0,0,0
46,2.5,5.5,4,3.25,3.25,2.75,0,0.046363636,0.607929293,0.104545455,0,0.110555556,0,0,0.10010101,0,0,0,0,0.030505051,0,0,0,0,0
47,3.25,4.75,3.75,3.5,3.25,3,0,0.108961142,0.530002643,0.138461538,0,0.202775575,0,0,0.012741211,0.002511234,0,0,0,0.004546656,0,0,0,0,0
